month,total_visitors,total_sessions,avg_duration,total_bounce_rate,total_carts,total_checkouts,total_conversion,total_orders_placed,total_pageviews
2021-01,3891,4547,1m24.411040246s,0.60501,21,7,0.00021,1,11201
2021-02,1527,1739,1m20.454859114s,0.58654,8,5,0.00057,1,4962
2021-03,2527,3097,1m14.995479496s,0.67646,41,4,0,0,6825
2021-04,1017,1147,1m19.20662598s,0.67044,11,2,0.00087,1,2618
2021-05,894,998,1m28.573146292s,0.67134,13,3,0.001,1,2479
2021-06,552,627,1m57.341307814s,0.5598,9,7,0,0,1942
2021-07,574,649,1m55.001540832s,0.60708,9,1,0.00154,1,2057
2021-08,801,864,1m35.457175925s,0.65046,8,8,0,0,2497
2021-09,747,874,1m39.421052631s,0.57665,10,4,0,0,2615
2021-10,1628,1742,55.82663605s,0.72445,5,4,0,0,3557
2021-11,729,753,1m4.921646746s,0.71978,1,0,0,0,1615

